Wall time,Step,Value
1593383767.9160254,1,9.546553611755371
1593383966.6713576,101,7.931654930114746
1593384135.355307,201,7.340896129608154
1593384304.024826,301,6.953257083892822
1593384472.9950287,401,6.651178359985352
1593384641.702101,501,6.598820686340332
1593384809.9031103,601,6.4700703620910645
1593384978.2151582,701,6.790090560913086
1593385146.2654133,801,7.014559268951416
1593385315.548392,901,7.245519161224365
1593385483.4911616,1001,7.712512969970703
1593385653.4809918,1101,8.384795188903809
1593385821.729649,1201,8.909018516540527
1593385990.323718,1301,9.77190113067627
1593386159.0910883,1401,10.519129753112793
1593386327.636996,1501,10.999876976013184
1593386496.803958,1601,12.283696174621582
1593386665.051105,1701,12.871766090393066
1593386833.208015,1801,13.955764770507812
1593387002.2681255,1901,15.88154125213623
1593387171.6174781,2001,16.51971435546875
1593387340.2702985,2101,18.494970321655273
1593387509.3259685,2201,19.36086654663086
1593387677.9360547,2301,21.4352970123291
1593387847.2030509,2401,23.481382369995117
1593388015.8526552,2501,26.273229598999023
1593388184.3459444,2601,27.21135139465332
1593388354.3764393,2701,29.753202438354492
1593388524.618285,2801,33.21187973022461
1593388693.563666,2901,34.15658950805664
1593388862.6290572,3001,36.24180603027344
1593389031.275564,3101,40.56536865234375
1593389199.9290535,3201,45.63141632080078
1593389368.5985081,3301,46.7410888671875
1593389538.4125404,3401,50.545066833496094
1593389706.2361763,3501,54.62630844116211
1593389874.6986847,3601,58.047393798828125
1593390044.0217395,3701,59.19843673706055
1593390212.6905427,3801,61.453468322753906
1593390382.4320905,3901,62.594940185546875
1593390550.9391527,4001,68.29328918457031
1593390733.713654,4101,75.83820343017578
1593390911.3808007,4201,79.05879974365234
1593391080.2716508,4301,77.7615966796875
1593391248.05436,4401,86.35868072509766
1593391414.8531382,4501,86.89960479736328
1593391582.9727473,4601,93.50531768798828
1593391750.5849967,4701,98.3718490600586
1593391918.3167799,4801,105.7431640625
1593392084.4409988,4901,109.71790313720703
1593392252.1599126,5001,174.02279663085938
1593392420.3369792,5101,127.61107635498047
1593392587.2378838,5201,116.02452850341797
1593392753.853922,5301,109.75035858154297
1593392920.5187905,5401,162.9029541015625
1593393087.3618581,5501,116.77438354492188
1593393255.529074,5601,125.91300964355469
1593393423.299566,5701,144.88467407226562
1593393591.22282,5801,23.34447479248047
1593393757.6297686,5901,219.75381469726562
1593393924.2737021,6001,218.2053680419922
1593394092.0429137,6101,23.93539047241211
1593394258.3890476,6201,98.27033233642578
1593394426.558952,6301,101.55433654785156
1593394593.6701891,6401,112.99117279052734
1593394761.3266315,6501,122.45885467529297
1593394928.8344233,6601,128.94873046875
1593395095.9194345,6701,138.85659790039062
